region_id,region_name,date,ndvi
ali-gaize,阿里地区改则县,2021-04,0.0722
yushu-chengduo,玉树州称多县,2021-04,0.10980000000000001
yushu-zaduo,玉树州杂多县,2021-04,0.14750000000000002
guoluo-maqin,果洛州玛沁县,2021-04,0.05895
guoluo-jiuzhi,果洛州久治县,2021-04,0.11985000000000001
haibei-gangcha,海北州刚察县,2021-04,0.1293
huangnan-zeku,黄南州泽库县,2021-04,0.1463
ganzi-shiqu,甘孜州石渠县,2021-04,0.15745
ganzi-seda,甘孜州色达县,2021-04,0.12395
aba-hongyuan,阿坝州红原县,2021-04,0.4213
gannan-luqu,甘南州碌曲县,2021-04,0.1279
naqu-bange,那曲市班戈县,2021-05,0.14650000000000002
naqu-seni,那曲市色尼区,2021-05,0.16345
naqu-nierong,那曲市聂荣县,2021-05,0.3194
naqu-anduo,那曲市安多县,2021-05,0.1246
naqu-shenzha,那曲市申扎县,2021-05,0.10895
changdu-karuo,昌都市卡若区,2021-05,0.0985
changdu-luolong,昌都市洛隆县,2021-05,0.32375000000000004
changdu-leiwuqi,昌都市类乌齐县,2021-05,0.27485000000000004
changdu-jiangda,昌都市江达县,2021-05,0.47700000000000004
rikaze-xietongmen,日喀则市谢通门县,2021-05,0.14045000000000002
rikaze-jiangzi,日喀则市江孜县,2021-05,0.12215000000000001
rikaze-kangma,日喀则市康马县,2021-05,0.11365
rikaze-zhongba,日喀则市仲巴县,2021-05,0.11315
shannan-cuona,山南市措那县,2021-05,0.2361
ali-gaize,阿里地区改则县,2021-05,0.0726
yushu-chengduo,玉树州称多县,2021-05,0.19055
yushu-zaduo,玉树州杂多县,2021-05,0.26325000000000004
guoluo-maqin,果洛州玛沁县,2021-05,0.10210000000000001
guoluo-jiuzhi,果洛州久治县,2021-05,0.1915
haibei-gangcha,海北州刚察县,2021-05,0.2034
huangnan-zeku,黄南州泽库县,2021-05,0.2225
ganzi-shiqu,甘孜州石渠县,2021-05,0.25570000000000004
ganzi-seda,甘孜州色达县,2021-05,0.16695000000000002
aba-hongyuan,阿坝州红原县,2021-05,0.4398
gannan-luqu,甘南州碌曲县,2021-05,0.17195000000000002
naqu-bange,那曲市班戈县,2021-06,0.21365
naqu-seni,那曲市色尼区,2021-06,0.24155000000000001
naqu-nierong,那曲市聂荣县,2021-06,0.3462
naqu-anduo,那曲市安多县,2021-06,0.1671
naqu-shenzha,那曲市申扎县,2021-06,0.14550000000000002
changdu-karuo,昌都市卡若区,2021-06,0.10435
changdu-luolong,昌都市洛隆县,2021-06,0.29085
changdu-leiwuqi,昌都市类乌齐县,2021-06,0.512
changdu-jiangda,昌都市江达县,2021-06,0.59865
rikaze-xietongmen,日喀则市谢通门县,2021-06,0.16
rikaze-jiangzi,日喀则市江孜县,2021-06,0.21765
rikaze-kangma,日喀则市康马县,2021-06,0.15665
rikaze-zhongba,日喀则市仲巴县,2021-06,0.1378
shannan-cuona,山南市措那县,2021-06,0.4441
ali-gaize,阿里地区改则县,2021-06,0.07515000000000001
yushu-chengduo,玉树州称多县,2021-06,0.18565
yushu-zaduo,玉树州杂多县,2021-06,0.28635
guoluo-maqin,果洛州玛沁县,2021-06,0.1396
guoluo-jiuzhi,果洛州久治县,2021-06,0.26280000000000003
haibei-gangcha,海北州刚察县,2021-06,0.2826
huangnan-zeku,黄南州泽库县,2021-06,0.26175000000000004
ganzi-shiqu,甘孜州石渠县,2021-06,0.49410000000000004
ganzi-seda,甘孜州色达县,2021-06,0.1155
aba-hongyuan,阿坝州红原县,2021-06,0.67925
gannan-luqu,甘南州碌曲县,2021-06,0.23320000000000002
naqu-bange,那曲市班戈县,2021-07,0.22105000000000002
naqu-seni,那曲市色尼区,2021-07,0.19545
naqu-nierong,那曲市聂荣县,2021-07,0.56875
naqu-anduo,那曲市安多县,2021-07,0.19125
naqu-shenzha,那曲市申扎县,2021-07,0.1731
changdu-karuo,昌都市卡若区,2021-07,0.1463
changdu-luolong,昌都市洛隆县,2021-07,0.28445000000000004
changdu-leiwuqi,昌都市类乌齐县,2021-07,0.36675
changdu-jiangda,昌都市江达县,2021-07,0.6162500000000001
rikaze-xietongmen,日喀则市谢通门县,2021-07,0.22940000000000002
rikaze-jiangzi,日喀则市江孜县,2021-07,0.2278
rikaze-kangma,日喀则市康马县,2021-07,0.27635000000000004
rikaze-zhongba,日喀则市仲巴县,2021-07,0.18380000000000002
shannan-cuona,山南市措那县,2021-07,0.67525
ali-gaize,阿里地区改则县,2021-07,0.08545
yushu-chengduo,玉树州称多县,2021-07,0.2479
yushu-zaduo,玉树州杂多县,2021-07,0.34815
guoluo-maqin,果洛州玛沁县,2021-07,0.13375
guoluo-jiuzhi,果洛州久治县,2021-07,0.2235
haibei-gangcha,海北州刚察县,2021-07,0.32485
huangnan-zeku,黄南州泽库县,2021-07,0.3215
ganzi-shiqu,甘孜州石渠县,2021-07,0.5424
ganzi-seda,甘孜州色达县,2021-07,0.15865
aba-hongyuan,阿坝州红原县,2021-07,0.74775
gannan-luqu,甘南州碌曲县,2021-07,0.16590000000000002
naqu-bange,那曲市班戈县,2021-08,0.25780000000000003
naqu-seni,那曲市色尼区,2021-08,0.28095000000000003
