region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample
ganzi-seda,CMFD_ganzi-seda,2020-04-01 00:00,0.7,2.04,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2020-04-01 00:00,1.0,3.56,2.6,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2020-04-01 00:00,0.4,2.78,3.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2020-05-01 00:00,2.2,0.57,3.5,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2020-05-01 00:00,2.6,0.77,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2020-05-01 00:00,-3.7,1.64,2.2,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-anduo,CMFD_naqu-anduo,2020-05-01 00:00,-2.5,0.57,2.6,0,中,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-shenzha,CMFD_naqu-shenzha,2020-05-01 00:00,2.6,0.0,3.5,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-karuo,CMFD_changdu-karuo,2020-05-01 00:00,10.4,0.87,1.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-luolong,CMFD_changdu-luolong,2020-05-01 00:00,7.1,1.97,2.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2020-05-01 00:00,5.1,2.32,1.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2020-05-01 00:00,1.3,1.4,2.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2020-05-01 00:00,10.2,0.0,2.6,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-jiangzi,CMFD_rikaze-jiangzi,2020-05-01 00:00,8.9,0.0,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-kangma,CMFD_rikaze-kangma,2020-05-01 00:00,2.4,0.0,3.2,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-zhongba,CMFD_rikaze-zhongba,2020-05-01 00:00,4.7,0.0,3.9,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
shannan-cuona,CMFD_shannan-cuona,2020-05-01 00:00,1.4,3.37,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ali-gaize,CMFD_ali-gaize,2020-05-01 00:00,4.2,0.0,3.1,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-chengduo,CMFD_yushu-chengduo,2020-05-01 00:00,5.6,1.63,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-zaduo,CMFD_yushu-zaduo,2020-05-01 00:00,4.0,1.43,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-maqin,CMFD_guoluo-maqin,2020-05-01 00:00,4.6,2.14,1.9,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-jiuzhi,CMFD_guoluo-jiuzhi,2020-05-01 00:00,3.9,2.99,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
haibei-gangcha,CMFD_haibei-gangcha,2020-05-01 00:00,4.9,1.45,3.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
huangnan-zeku,CMFD_huangnan-zeku,2020-05-01 00:00,3.7,3.14,2.6,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-shiqu,CMFD_ganzi-shiqu,2020-05-01 00:00,2.5,0.92,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-seda,CMFD_ganzi-seda,2020-05-01 00:00,4.3,2.22,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2020-05-01 00:00,5.3,3.57,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2020-05-01 00:00,5.3,3.69,2.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2020-06-01 00:00,7.1,1.12,3.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2020-06-01 00:00,8.2,5.41,2.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2020-06-01 00:00,4.4,5.41,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-anduo,CMFD_naqu-anduo,2020-06-01 00:00,5.5,3.61,2.9,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-shenzha,CMFD_naqu-shenzha,2020-06-01 00:00,8.3,0.0,3.6,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-karuo,CMFD_changdu-karuo,2020-06-01 00:00,16.3,5.78,1.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-luolong,CMFD_changdu-luolong,2020-06-01 00:00,13.7,4.22,3.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2020-06-01 00:00,11.0,7.3,1.5,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2020-06-01 00:00,5.4,9.42,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2020-06-01 00:00,16.1,0.0,2.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-jiangzi,CMFD_rikaze-jiangzi,2020-06-01 00:00,14.9,0.27,2.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-kangma,CMFD_rikaze-kangma,2020-06-01 00:00,8.3,0.0,3.5,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-zhongba,CMFD_rikaze-zhongba,2020-06-01 00:00,8.3,0.0,4.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
shannan-cuona,CMFD_shannan-cuona,2020-06-01 00:00,6.5,3.6,2.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ali-gaize,CMFD_ali-gaize,2020-06-01 00:00,10.3,0.0,3.5,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-chengduo,CMFD_yushu-chengduo,2020-06-01 00:00,9.1,6.63,1.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-zaduo,CMFD_yushu-zaduo,2020-06-01 00:00,8.7,6.01,1.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-maqin,CMFD_guoluo-maqin,2020-06-01 00:00,8.9,7.44,1.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-jiuzhi,CMFD_guoluo-jiuzhi,2020-06-01 00:00,8.3,10.49,1.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
haibei-gangcha,CMFD_haibei-gangcha,2020-06-01 00:00,8.6,4.83,3.1,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
huangnan-zeku,CMFD_huangnan-zeku,2020-06-01 00:00,8.0,7.4,2.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-shiqu,CMFD_ganzi-shiqu,2020-06-01 00:00,7.8,8.05,2.1,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-seda,CMFD_ganzi-seda,2020-06-01 00:00,10.0,10.11,2.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2020-06-01 00:00,10.2,9.37,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2020-06-01 00:00,9.2,7.73,2.5,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2020-07-01 00:00,8.2,3.81,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-seni,CMFD_naqu-seni,2020-07-01 00:00,10.6,3.72,2.2,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-nierong,CMFD_naqu-nierong,2020-07-01 00:00,9.5,4.43,2.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
