region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample,imported_at,n_grid_cells
naqu-shenzha,CMFD_regional_naqu-shenzha,2015-03-01 00:00,-5.6,6.1,4.7,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342372+00:00,440
changdu-karuo,CMFD_regional_changdu-karuo,2015-03-01 00:00,-0.8,10.1,2.0,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342454+00:00,208
changdu-luolong,CMFD_regional_changdu-luolong,2015-03-01 00:00,-3.7,27.8,3.0,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342518+00:00,140
changdu-leiwuqi,CMFD_regional_changdu-leiwuqi,2015-03-01 00:00,-1.8,19.9,2.3,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342578+00:00,120
changdu-jiangda,CMFD_regional_changdu-jiangda,2015-03-01 00:00,-1.4,6.5,1.9,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342640+00:00,256
rikaze-xietongmen,CMFD_regional_rikaze-xietongmen,2015-03-01 00:00,-4.5,8.3,3.4,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342706+00:00,209
rikaze-jiangzi,CMFD_regional_rikaze-jiangzi,2015-03-01 00:00,-1.2,5.9,3.5,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342769+00:00,77
rikaze-kangma,CMFD_regional_rikaze-kangma,2015-03-01 00:00,-3.8,8.5,3.8,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342833+00:00,84
rikaze-zhongba,CMFD_regional_rikaze-zhongba,2015-03-01 00:00,-11.1,44.7,3.8,0,高,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342932+00:00,702
shannan-cuona,CMFD_regional_shannan-cuona,2015-03-01 00:00,6.5,21.8,1.7,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343024+00:00,480
ali-gaize,CMFD_regional_ali-gaize,2015-03-01 00:00,-9.6,15.5,4.5,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343149+00:00,1892
yushu-chengduo,CMFD_regional_yushu-chengduo,2015-03-01 00:00,-5.0,7.3,3.6,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343228+00:00,323
yushu-zaduo,CMFD_regional_yushu-zaduo,2015-03-01 00:00,-5.6,5.3,3.6,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343308+00:00,578
guoluo-maqin,CMFD_regional_guoluo-maqin,2015-03-01 00:00,-4.7,7.4,2.5,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343378+00:00,352
guoluo-jiuzhi,CMFD_regional_guoluo-jiuzhi,2015-03-01 00:00,-3.2,19.5,2.5,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343445+00:00,150
haibei-gangcha,CMFD_regional_haibei-gangcha,2015-03-01 00:00,-4.6,3.7,3.0,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343545+00:00,144
huangnan-zeku,CMFD_regional_huangnan-zeku,2015-03-01 00:00,-3.0,4.8,2.2,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343614+00:00,112
ganzi-shiqu,CMFD_regional_ganzi-shiqu,2015-03-01 00:00,-4.8,12.2,3.1,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343689+00:00,380
ganzi-seda,CMFD_regional_ganzi-seda,2015-03-01 00:00,-3.1,11.7,2.5,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343763+00:00,208
aba-hongyuan,CMFD_regional_aba-hongyuan,2015-03-01 00:00,0.7,18.1,2.4,0,低,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343830+00:00,196
gannan-luqu,CMFD_regional_gannan-luqu,2015-03-01 00:00,-0.8,7.3,2.5,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343905+00:00,80
linzhi-bayi,CMFD_regional_linzhi-bayi,2015-03-01 00:00,-1.0,21.4,2.5,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.343986+00:00,144
naqu-bange,CMFD_regional_naqu-bange,2015-04-01 00:00,-1.2,19.3,3.6,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.355585+00:00,529
naqu-seni,CMFD_regional_naqu-seni,2015-04-01 00:00,-2.1,28.0,2.6,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.355666+00:00,280
naqu-nierong,CMFD_regional_naqu-nierong,2015-04-01 00:00,-4.1,25.7,3.0,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.355735+00:00,187
naqu-anduo,CMFD_regional_naqu-anduo,2015-04-01 00:00,-6.5,15.3,3.6,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.355869+00:00,1872
naqu-shenzha,CMFD_regional_naqu-shenzha,2015-04-01 00:00,-1.7,20.6,4.1,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.355956+00:00,440
changdu-karuo,CMFD_regional_changdu-karuo,2015-04-01 00:00,1.2,32.3,1.9,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356026+00:00,208
changdu-luolong,CMFD_regional_changdu-luolong,2015-04-01 00:00,-1.4,61.2,2.5,0,中,高,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356088+00:00,140
changdu-leiwuqi,CMFD_regional_changdu-leiwuqi,2015-04-01 00:00,-0.1,40.5,2.1,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356153+00:00,120
changdu-jiangda,CMFD_regional_changdu-jiangda,2015-04-01 00:00,0.5,27.0,1.9,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356248+00:00,256
rikaze-xietongmen,CMFD_regional_rikaze-xietongmen,2015-04-01 00:00,-1.2,24.1,3.2,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356338+00:00,209
rikaze-jiangzi,CMFD_regional_rikaze-jiangzi,2015-04-01 00:00,1.5,23.0,3.6,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356406+00:00,77
rikaze-kangma,CMFD_regional_rikaze-kangma,2015-04-01 00:00,-0.9,23.7,4.0,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356476+00:00,84
rikaze-zhongba,CMFD_regional_rikaze-zhongba,2015-04-01 00:00,-6.2,25.4,3.6,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356592+00:00,702
shannan-cuona,CMFD_regional_shannan-cuona,2015-04-01 00:00,8.3,94.4,1.7,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356695+00:00,480
ali-gaize,CMFD_regional_ali-gaize,2015-04-01 00:00,-5.7,10.3,3.8,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356882+00:00,1892
yushu-chengduo,CMFD_regional_yushu-chengduo,2015-04-01 00:00,-3.1,29.5,3.1,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.356977+00:00,323
yushu-zaduo,CMFD_regional_yushu-zaduo,2015-04-01 00:00,-3.3,28.3,3.1,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357129+00:00,578
guoluo-maqin,CMFD_regional_guoluo-maqin,2015-04-01 00:00,-1.7,23.8,2.4,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357239+00:00,352
guoluo-jiuzhi,CMFD_regional_guoluo-jiuzhi,2015-04-01 00:00,0.0,31.8,2.2,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357309+00:00,150
haibei-gangcha,CMFD_regional_haibei-gangcha,2015-04-01 00:00,-0.1,30.3,3.1,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357377+00:00,144
huangnan-zeku,CMFD_regional_huangnan-zeku,2015-04-01 00:00,0.1,34.7,2.3,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357439+00:00,112
ganzi-shiqu,CMFD_regional_ganzi-shiqu,2015-04-01 00:00,-2.3,33.6,2.9,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357506+00:00,380
ganzi-seda,CMFD_regional_ganzi-seda,2015-04-01 00:00,-0.6,34.7,2.4,0,中,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357575+00:00,208
aba-hongyuan,CMFD_regional_aba-hongyuan,2015-04-01 00:00,2.2,56.1,2.4,0,低,低,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.357642+00:00,196
